Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Aberdelghy Golf Course,J 2866,0,0.043983,0.141624,0.048968,0.034535,0.079661,3749.843682,27.0499,0.7256,54.52619968,-6.023733614,1,sunflower and peanuts
Aghadulla,H 3667,0,0.084209,0.009177,0.14005,0,0.26513,4754.587114,26.5327,0.766565,54.55005786,-7.444421272,1,sunflower and peanuts
Aghagrefin,H 1866,0,0.021764,0.010023,0.538065,0,0.095541,1523.491253,82.968149,0.430149,54.54203317,-7.722640076,1,sunflower and peanuts
Aghamakane wood,J 0223,0,0.000888,0,0.189591,0.437964,0.214992,1500.129955,12.8882,0.367895,54.14594917,-6.43982139,1,sunflower and peanuts
Aghavoory,H 4545,0.023991,0.282557,0,0.144764,0.008557,0.124567,531.376227,21.4946,0.535856,54.35172015,-7.308689007,1,sunflower and peanuts
Alderwood,H 4745,0,0.097032,0,0.542961,0.005026,0.188077,4207.544557,1464.209291,0.354981,54.35153998,-7.277933571,1,sunflower and peanuts
Altmore,H 6667,0.119289,0.055898,0,0.441244,0.126081,0.206748,1696.183387,45.1691,0.250725,54.54703972,-6.980878805,1,sunflower and peanuts
Altnarichard 1,D 1129,0.784957,0,0,0.030215,0.162536,0,3232.228131,19.453751,0.022292,55.09586342,-6.262040557,1,sunflower and peanuts
Annagarrif/peatlands,H 9061,0.199923,0.419401,0.021037,0.012632,0.008228,0.078977,0,1710.549841,0.326115,54.48946336,-6.611951449,1,sunflower and peanuts
Annalong,J 3522,0,0.022177,0.041243,0.193477,0.160711,0.180756,2633.787409,154.717499,0.582391,54.12936981,-5.935581913,1,sunflower and peanuts
Ardmore,C 4713,0,0.136396,0.048075,0.008725,0.005775,0,3429.256185,38.281601,0.801029,54.962336,-7.267015542,1,sunflower and peanuts
Ardress House ,H 9555,0,0,0.004179,0.005131,0,0.06725,1479.248291,29.994499,0.980929,54.4346706,-6.536747634,1,sunflower and peanuts
Ashbrooke House,C 4614,0,0.096542,0.317041,0.007687,0.002281,0,4565.389719,33.91725,0.576449,54.97141099,-7.282465405,1,sunflower and peanuts
Ashmenagh mountain,H 5277,0.030058,0.159537,0.015229,0.190643,0.008934,0.314064,1051.561713,22.685201,0.593817,54.63849147,-7.195418434,1,sunflower and peanuts
Aughentaine,H 4651,0,0.090484,0.011743,0.201194,0,0.096779,3850.230558,15.211406,0.696579,54.40552755,-7.292384421,1,sunflower and peanuts
Backaderry wood ,J 3339,0,0.031137,0,0.17688,0.146764,0.165974,4876.271525,26.209299,0.645219,54.28251665,-5.958640613,1,sunflower and peanuts
Ballinarees,C 8029,0,0.022318,0.042519,0.106597,0.08855,0.104422,0,9.26092,0.729877,55.10182404,-6.747472289,1,sunflower and peanuts
Ballintemple,J 0322,0,0.153924,0.006394,0.338144,0.045617,0.109036,0,27.889734,0.455921,54.13676951,-6.424865579,1,sunflower and peanuts
Ballybogey,C 9039,0,0.030681,0.010389,0.018147,0,0,2651.14836,3007.106764,0.940783,55.18990823,-6.587693048,1,sunflower and peanuts
Ballyboley,J 3099,0.000085,0.008311,0.021724,0.580693,0.056668,0.172399,7765.169131,16.149199,0.243416,54.8219465,-5.978190932,1,sunflower and peanuts
Ballyedmund House ,J 2014,0,0.161953,0.185118,0.050965,0.033268,0.106017,976.929644,32.19685,0.51717,54.06125189,-6.168075806,1,sunflower and peanuts
Ballygudden Road,C 5319,0,0.026272,0.021289,0,0,0,1690.570563,23.111799,0.944815,55.01562467,-7.172248591,1,sunflower and peanuts
Ballykelly Forest,C 6021,0,0.167894,0,0.134437,0,0.091894,2940.060962,14.16685,0.697669,55.03279347,-7.062419639,1,sunflower and peanuts
Ballykelly River,C 6220,0,0.129667,0.018333,0.029544,0.044502,0.020118,4061.980396,42.315,0.777954,55.02356728,-7.031363511,1,sunflower and peanuts
Ballylough,C 9536,0,0.101429,0.026741,0.135649,0.121647,0.039511,2429.605995,36.157249,0.613684,55.1620363,-6.510224035,1,sunflower and peanuts
Ballynahone bog 1,H 8698,0.307484,0.264014,0,0,0.007865,0.096206,1398.324349,23.894401,0.420636,54.82243822,-6.662785681,1,sunflower and peanuts
Ballynahone bog 2,H 8598,0.374768,0.258236,0,0,0.032327,0.042175,0,63.999433,0.334668,54.82260861,-6.678338775,1,sunflower and peanuts
Ballypatrick,D 1736,0.234248,0,0,0.740878,0.003938,0,2401.569013,13.4312,0.020936,55.15733048,-6.165227825,1,sunflower and peanuts
"Ballyportery Rd, Scroogs",D 0522,0,0,0.021025,0,0.022458,0.054836,2099.148826,485.524767,0.956517,55.03431699,-6.358556026,1,sunflower and peanuts
Ballywalter,J 6168,0,0.03121,0.026069,0.208124,0.032407,0.000027,2795.48216,129.24255,0.70219,54.53475049,-5.513420997,1,sunflower and peanuts
Ballywhite,J 5752,0,0.095942,0.027382,0.02439,0,0.111707,0,45.3969,0.827717,54.39240012,-5.583637121,1,sunflower and peanuts
Ballywillwill House,J 3540,0,0.039462,0.080341,0.036294,0.095101,0.177404,811.92927,98.486032,0.736088,54.29097072,-5.92750344,1,sunflower and peanuts
Balmoral,J 3270,0,0.052365,0.796311,0.045017,0.024462,0,0,69.6768,0.081846,54.56108457,-5.96020324,1,sunflower and peanuts
Banagher Glen,C 6901,0.033452,0,0,0.661138,0.138826,0.008517,5826.943316,92.581798,0.166584,54.85200748,-6.926493939,1,sunflower and peanuts
Bashford's land wood,J 4190,0,0.02738,0.138878,0.04297,0.041221,0.205604,962.728624,18.1362,0.749551,54.73818982,-5.811553547,1,sunflower and peanuts
Belle Isle,H 2935,0,0.136188,0.007021,0.013037,0.035006,0.09363,1823.607694,39.120201,0.757386,54.26304669,-7.555712535,1,sunflower and peanuts
Belmore forest/Pollingllum caves,H 1143,0,0.077827,0.018144,0.33685,0.070584,0.087322,3030.029477,70.462097,0.496595,54.33561708,-7.831643653,1,sunflower and peanuts
Belvoir Golf Club ,J 3470,0,0.118023,0.329508,0.144216,0.020496,0,1532.820248,30.4153,0.350128,54.56055952,-5.92930814,1,sunflower and peanuts
Belvoir Park Forest,J 3370,0,0.116091,0.442898,0.133581,0.045954,0,1811.40915,76.885174,0.242971,54.56082303,-5.944755566,1,sunflower and peanuts
Ben Vista,D 0822,0,0,0.051948,0,0.047395,0.047148,839.532934,74.698133,0.900656,55.03367525,-6.311658535,1,sunflower and peanuts
Benburb,H 8151,0,0.104212,0.038222,0.024919,0,0.004352,4158.511644,40.493649,0.820634,54.40116628,-6.753524171,1,sunflower and peanuts
Ben's Hill,J 3942,0,0.061927,0.024408,0.073502,0.017992,0.476936,1729.234142,32.1832,0.812331,54.30785434,-5.865191324,1,sunflower and peanuts
Benvardin,C 9431,0.216768,0.016343,0,0.382318,0.034642,0,2182.086477,39.0675,0.344421,55.11733037,-6.527562435,1,sunflower and peanuts
Big Gortagole,C 9605,0,0.200736,0.003425,0.022012,0.156626,0.034316,4068.375973,24.816799,0.55497,54.88348241,-6.504940391,1,sunflower and peanuts
Big wood/Narrowwater ,J 1120,0,0.547927,0.073401,0.144861,0.022379,0,0,91.377502,0.112461,54.11714622,-6.303258764,1,sunflower and peanuts
Binevenagh,C 6931,0.013417,0.296807,0.033977,0.353213,0.046692,0.18979,531.74792,125.112731,0.248106,55.12143566,-6.919276541,1,sunflower and peanuts
Blackrock Wood,H 4183,0,0.096651,0.010128,0.008033,0,0.032832,4183.824251,29.143299,0.885188,54.69339851,-7.364922827,1,sunflower and peanuts
Bohill Forest,J 3946,0,0.067282,0.028722,0.280839,0.10323,0.224654,632.686366,62.568901,0.519928,54.34376341,-5.863329857,1,sunflower and peanuts
Bolies wood,C 4215,0,0.024045,0.489519,0.0624,0,0,910.175332,20.590099,0.410201,54.98074555,-7.344773996,1,sunflower and peanuts
Boorin Wood,H 5085,0,0.123401,0.008449,0.010128,0,0.094597,5923.923813,10.6803,0.858023,54.71055071,-7.225021589,1,sunflower and peanuts
Bracknamuckley,C 9705,0,0.181989,0.037575,0.027955,0.019083,0.033977,5104.842909,14.64766,0.715073,54.88328965,-6.489365032,1,sunflower and peanuts
Bradkeel Forest,H 5093,0.076483,0.204337,0.008762,0.153274,0.125713,0.231278,3967.759985,50.4328,0.431432,54.78240721,-7.223647646,1,sunflower and peanuts
Breen pine wood,D 1233,0.139937,0.122772,0,0.466796,0.206054,0.027412,1030.457131,4.73723,0.064441,55.13155146,-6.244810174,1,sunflower and peanuts
Bristow Park,J 3169,0,0.020563,0.641389,0.02996,0.073135,0,297.037094,567.6286,0.225402,54.55236658,-5.976095992,1,sunflower and peanuts
Brockagh mountain,C 5314,0.192918,0.038008,0.016442,0.396941,0,0,164.128178,47.814751,0.350017,54.97071676,-7.173172828,1,sunflower and peanuts
Brockagh road,C 5216,0,0.035465,0.113168,0.022156,0.005991,0.046786,4638.2756,41.735,0.823219,54.98878522,-7.188423345,1,sunflower and peanuts
Brollagh,H 9455,0,0.005312,0.015856,0,0,0.033499,2428.839964,11.3833,0.978832,54.43485627,-6.552152666,1,sunflower and peanuts
"Bunker hill, Donnybrewer",C 5021,0,0.114296,0.179171,0.100571,0.020131,0.05042,1807.82647,154.438932,0.578236,55.033898,-7.218790564,1,sunflower and peanuts
Burn Dennett area,C 4304,0,0.196613,0.005055,0.024805,0,0,3277.456576,184.126007,0.773526,54.88185843,-7.330799864,1,sunflower and peanuts
Cairns wood/Ballysallagh,J 4577,0,0.114789,0.008758,0.249167,0.072722,0.046886,0,9.0465,0.554564,54.62036449,-5.755950073,1,sunflower and peanuts
Cam Forest,C 7821,0,0.050047,0,0.515573,0.170061,0.132297,0,42.803651,0.264319,55.03029921,-6.780982721,1,sunflower and peanuts
Cam Forest 02,C 7523,0,0.02942,0,0.690883,0.047223,0.061084,3375.943153,115.996902,0.232473,55.04872124,-6.82736104,1,sunflower and peanuts
Camlough,J 0525,0,0.02346,0,0.230125,0.370569,0.044316,1330.48964,22.03915,0.375847,54.163306,-6.39323578,1,sunflower and peanuts
Capanagh wood,D 2904,0.34957,0.014557,0,0.629678,0.000004,0,2401.007722,23.315201,0.006192,54.86709069,-5.991509082,1,sunflower and peanuts
Capecastle,D 0737,0.008863,0.026768,0,0.099619,0.001628,0.015664,4951.412267,32.04275,0.863122,55.16856888,-6.321654506,1,sunflower and peanuts
Carnagh,H 8229,0.106361,0.300209,0,0.297045,0.002701,0.035836,3.9912,41.324126,0.25369,54.20341602,-6.744161454,1,sunflower and peanuts
Carndaisy Glen,H 8385,0,0.162641,0.000048,0,0.006232,0.029358,1712.157944,18.5228,0.831079,54.70619583,-6.713156384,1,sunflower and peanuts
Carnduff Thompson,D 4000,0,0.133753,0.02549,0.041143,0.029051,0.149244,0,28.797851,0.64807,54.82823247,-5.82224672,1,sunflower and peanuts
Carrick River,C 6818,0,0.014164,0.050205,0,0,0.138057,7521.539583,4811.89712,0.92812,55.00482243,-6.938043876,1,sunflower and peanuts
Carrickastickan,J 0117,0,0.016558,0.026202,0,0.040746,0.117977,2386.597825,12.1976,0.916494,54.09226314,-6.457121889,1,sunflower and peanuts
Carrickyheenan Forest/Bonnisnagable,H 4338,0.076742,0.212681,0.006494,0.228193,0.047587,0.191991,2306.787511,29.143299,0.421891,54.28901201,-7.340451935,1,sunflower and peanuts
Carrowhony,H 3039,0,0.021433,0.006854,0,0.010999,0.05993,1591.024425,32.1395,0.955431,54.29892229,-7.539966656,1,sunflower and peanuts
Cashel wood,H 6583,0.271534,0.035611,0.015789,0.382956,0.008087,0.072984,2624.140243,4091.608609,0.27639,54.69087599,-6.992784,1,sunflower and peanuts
