,X,igr,Year,SP,Long,Lat
1,1,R264694,2016,Martes martes,52.77098134,-9.091212251
2,2,T273861,2016,Martes martes,52.91099345,-6.108479795
3,3,S519674,2016,Martes martes,52.75553595,-7.232044889
4,4,S456983,2016,Martes martes,53.03374157,-7.321018517
5,5,N120967,2016,Martes martes,53.91964668,-7.818105737
6,6,N391121,2016,Martes martes,53.1582471,-7.416224937
7,7,S593325,2016,Martes martes,52.44119618,-7.128703792
8,8,R686706,2015,Martes martes,52.785865,-8.466117167
9,9,H250980,2016,Martes martes,54.82918567,-7.611753252
10,10,N300861,2016,Martes martes,53.82368898,-7.545192889
11,11,S253876,2016,Martes martes,52.93894163,-7.62443715
12,12,S057638,2016,Martes martes,52.72564515,-7.916368375
13,13,H649307,2016,Martes martes,54.22113332,-7.00578893
14,14,G151186,2016,Martes martes,54.10952991,-9.29882789
15,15,M797685,2016,Martes martes,53.66603263,-8.307842263
16,16,N093212,2016,Martes martes,53.24136401,-7.861441034
17,17,N774266,2016,Martes martes,53.28432207,-6.840254723
18,18,S055839,2016,Martes martes,52.90626153,-7.918991809
19,19,N112224,2016,Martes martes,53.25210957,-7.832940862
20,20,R964910,2016,Martes martes,52.97007501,-8.054316845
21,21,N360916,2016,Martes martes,53.87271973,-7.453443652
22,22,M113561,2016,Martes martes,53.54752825,-9.338891908
23,23,G223015,2017,Martes martes,53.95707444,-9.184397791
24,24,G540043,2018,Martes martes,53.98601621,-8.701966888
25,25,G857294,2017,Martes martes,54.21335863,-8.219927897
26,26,H236360,2017,Martes martes,54.27230767,-7.638500078
27,27,M119860,2018,Martes martes,53.81619237,-9.338329064
28,28,M284826,2017,Martes martes,53.7881836,-9.087081392
29,29,N065024,2017,Martes martes,53.07248253,-7.903759396
30,30,N080409,2017,Martes martes,53.41838952,-7.880416853
31,31,N148075,2017,Martes martes,53.11814262,-7.77969526
32,32,N279864,2017,Martes martes,53.82650094,-7.57705312
33,33,N314087,2017,Martes martes,53.128207,-7.531661175
34,34,N448123,2017,Martes martes,53.15959567,-7.330992917
35,35,N597883,2017,Martes martes,53.8408932,-7.093819869
36,36,N634091,2017,Martes martes,53.12895958,-7.053597966
37,37,N634091,2017,Martes martes,53.12895958,-7.053597966
38,38,N645097,2017,Martes martes,53.13421822,-7.037046938
39,39,N697335,2017,Martes martes,53.34737551,-6.954166172
