"","X1km_square","overall_pa_2015","overall_pa_2018","overall_pa_2020","bait","bog","broadleaf","built","conifer","grassland","dwarf","river","rough","lat","long","people_km2","Day.1_2015","Day.1_2018","Day.1_2020","Day.2_2015","Day.2_2018","Day.2_2020","Day.3_2015","Day.3_2018","Day.3_2020","Day.4_2015","Day.4_2018","Day.4_2020","Day.5_2015","Day.5_2018","Day.5_2020","Day.6_2015","Day.6_2018","Day.6_2020","Day.7_2015","Day.7_2018","Day.7_2020","Day.8_2015","Day.8_2018","Day.8_2020","Day.9_2015","Day.9_2018","Day.9_2020","Day.10_2015","Day.10_2018","Day.10_2020","Day.11_2015","Day.11_2018","Day.11_2020","Day.12_2015","Day.12_2018","Day.12_2020","Day.13_2015","Day.13_2018","Day.13_2020","Day.14_2015","Day.14_2018","Day.14_2020"
"1","J2866",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","H3667",1,0,0,"sunflower and peanuts",0,0.084209,0.009177,0.14005,0.501435,0,4754.587114,0.26513,54.55005786,-7.444421272,26.5327,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"3","H1866",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA
"4","J0223",0,NA,1,"sunflower and peanuts",0,0.000888,0,0.189591,0.152903,0.437964,1500.129955,0.214992,54.14594917,-6.43982139,12.8882,0,NA,0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1
"5","H4545",1,NA,1,"sunflower and peanuts",0.023991,0.282557,0,0.144764,0.411289,0.008557,531.376227,0.124567,54.35172015,-7.308689007,21.4946,0,NA,0,0,NA,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1
"6","H4745",1,1,1,"sunflower and peanuts",0,0.097032,0,0.542961,0.166904,0.005026,4207.544557,0.188077,54.35153998,-7.277933571,1464.209291,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"7","H6667",1,NA,1,"sunflower and peanuts",0.119289,0.055898,0,0.441244,0.043977,0.126081,1696.183387,0.206748,54.54703972,-6.980878805,45.1691,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,NA,1,0,NA,1,1,NA,1,0,NA,1,0,NA,0,1,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0
"8","D1129",0,NA,0,"sunflower and peanuts",0.784957,0,0,0.030215,0.022292,0.162536,3232.228131,0,55.09586342,-6.262040557,19.453751,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"9","H9061",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","J3522",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","C4713",0,0,0,"sunflower and peanuts",0,0.136396,0.048075,0.008725,0.801029,0.005775,3429.256185,0,54.962336,-7.267015542,38.281601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"12","H9555",0,NA,0,"sunflower and peanuts",0,0,0.004179,0.005131,0.913679,0,1479.248291,0.06725,54.4346706,-6.536747634,29.994499,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0
