prefix,number,gridid,Shape_Length,Shape_Area,OBJECTID,Join_ID,Code_18,sum_Shape_Area,sum_Area_SQUAREKILOMETERS,Polygon_Count,PercentArea
C,00,C00,40000.000000000000000,100000000.000000000000000,1,1,231,11060302.389057861641049,11.059521348311797,6,11.060302389057860
C,00,C00,40000.000000000000000,100000000.000000000000000,2,1,243,2264108.667262836825103,2.263945968864072,4,2.264108667262837
C,00,C00,40000.000000000000000,100000000.000000000000000,3,1,312,11251739.144813535735011,11.250944881281885,19,11.251739144813531
C,00,C00,40000.000000000000000,100000000.000000000000000,4,1,324,16612957.759332949295640,16.611780471407226,13,16.612957759332946
C,00,C00,40000.000000000000000,100000000.000000000000000,5,1,412,58544963.928692892193794,58.540816809161569,4,58.544963928692894
C,00,C00,40000.000000000000000,100000000.000000000000000,6,1,512,265928.110839929722715,0.265909118652869,1,0.265928110839930
D,00,D00,40000.000000000000000,100000000.000000000000000,7,2,111,46789.557797359135293,0.046772420966951,1,0.046789557797359
D,00,D00,40000.000000000000000,100000000.000000000000000,8,2,112,6116708.656095492653549,6.114531985668076,3,6.116708656095492
D,00,D00,40000.000000000000000,100000000.000000000000000,9,2,121,415521.024708744720556,0.415374498110369,1,0.415521024708745
D,00,D00,40000.000000000000000,100000000.000000000000000,10,2,142,1089741.595518555492163,1.089351676621769,1,1.089741595518555
D,00,D00,40000.000000000000000,100000000.000000000000000,11,2,231,87678715.710116088390350,87.648899319625372,1,87.678715710116080
D,00,D00,40000.000000000000000,100000000.000000000000000,12,2,311,261248.108057117933640,0.261165216089520,1,0.261248108057118
D,00,D00,40000.000000000000000,100000000.000000000000000,13,2,313,201.229408390943064,0.000201157863334,1,0.000201229408391
D,00,D00,40000.000000000000000,100000000.000000000000000,14,2,321,2374129.747439871542156,2.373367063859568,1,2.374129747439872
D,00,D00,40000.000000000000000,100000000.000000000000000,15,2,412,2016944.370858371956274,2.016278352609407,3,2.016944370858372
G,00,G00,40000.000000000000000,100000000.000000000000000,16,3,231,335980.900722138234414,0.335887944258341,1,0.335980900722138
G,00,G00,40000.000000000000000,100000000.000000000000000,17,3,243,15281060.218942800536752,15.276796793019889,4,15.281060218942802
G,00,G00,40000.000000000000000,100000000.000000000000000,18,3,311,437414.436766820494086,0.437278373381910,1,0.437414436766820
G,00,G00,40000.000000000000000,100000000.000000000000000,19,3,312,8061685.138570485636592,8.059296925469225,9,8.061685138570486
G,00,G00,40000.000000000000000,100000000.000000000000000,20,3,313,1987078.923269494203851,1.986532995642810,1,1.987078923269494
G,00,G00,40000.000000000000000,100000000.000000000000000,21,3,321,8126133.784466317854822,8.123630713109600,2,8.126133784466319
G,00,G00,40000.000000000000000,100000000.000000000000000,22,3,322,3806769.347484898753464,3.805715885787236,2,3.806769347484899
G,00,G00,40000.000000000000000,100000000.000000000000000,23,3,324,12517766.619546134024858,12.514092191814589,11,12.517766619546137
G,00,G00,40000.000000000000000,100000000.000000000000000,24,3,332,2317580.872998295351863,2.316877049335284,1,2.317580872998295
G,00,G00,40000.000000000000000,100000000.000000000000000,25,3,333,934407.973526906454936,0.934132178325105,1,0.934407973526906
G,00,G00,40000.000000000000000,100000000.000000000000000,26,3,412,46000061.645357012748718,45.986595872031749,6,46.000061645357015
G,00,G00,40000.000000000000000,100000000.000000000000000,27,3,512,194060.138348694541492,0.194004437612096,1,0.194060138348695
H,00,H00,40000.000000000000000,100000000.000000000000000,28,4,231,1811092.604457605630159,1.810962314025213,2,1.811092604457606
H,00,H00,40000.000000000000000,100000000.000000000000000,29,4,243,79594097.301980942487717,79.588465614644676,1,79.594097301980938
H,00,H00,40000.000000000000000,100000000.000000000000000,30,4,311,398626.669753150898032,0.398597876404261,1,0.398626669753151
H,00,H00,40000.000000000000000,100000000.000000000000000,31,4,312,8481184.658071899786592,8.480583610577058,20,8.481184658071902
H,00,H00,40000.000000000000000,100000000.000000000000000,32,4,313,1172761.904273481108248,1.172678880075476,2,1.172761904273481
H,00,H00,40000.000000000000000,100000000.000000000000000,33,4,324,3347749.602572489995509,3.347512081093829,7,3.347749602572490
H,00,H00,40000.000000000000000,100000000.000000000000000,34,4,412,572444.363714125123806,0.572403424625813,1,0.572444363714125
H,00,H00,40000.000000000000000,100000000.000000000000000,35,4,512,4622042.895176302641630,4.621714788320870,11,4.622042895176302
J,00,J00,40000.000000000000000,100000000.000000000000000,36,5,111,1245973.229992194101214,1.245547871370970,1,1.245973229992194
J,00,J00,40000.000000000000000,100000000.000000000000000,37,5,112,12113300.791637886315584,12.109150162750705,3,12.113300791637885
J,00,J00,40000.000000000000000,100000000.000000000000000,38,5,121,2595747.422269487287849,2.594852941703750,4,2.595747422269488
J,00,J00,40000.000000000000000,100000000.000000000000000,39,5,122,1114001.719888060586527,1.113631547767088,2,1.114001719888061
J,00,J00,40000.000000000000000,100000000.000000000000000,40,5,142,1099669.374450699891895,1.099287216024276,2,1.099669374450700
J,00,J00,40000.000000000000000,100000000.000000000000000,41,5,211,13796182.991206698119640,13.791619083181541,14,13.796182991206699
J,00,J00,40000.000000000000000,100000000.000000000000000,42,5,231,35903234.489241003990173,35.891260014669399,12,35.903234489241001
J,00,J00,40000.000000000000000,100000000.000000000000000,43,5,242,8409429.621434852480888,8.406639741919602,4,8.409429621434853
J,00,J00,40000.000000000000000,100000000.000000000000000,44,5,311,407566.414739311847370,0.407418831763017,2,0.407566414739312
J,00,J00,40000.000000000000000,100000000.000000000000000,45,5,421,3579902.723608258645982,3.578631480514064,3,3.579902723608259
J,00,J00,40000.000000000000000,100000000.000000000000000,46,5,423,18409396.400165308266878,18.402784937519307,1,18.409396400165310
J,00,J00,40000.000000000000000,100000000.000000000000000,47,5,522,398995.503007101360708,0.398851500288577,1,0.398995503007101
M,00,M00,40000.000000000000000,100000000.000000000000000,48,6,231,1535304.130815248470753,1.534886745138604,1,1.535304130815248
M,00,M00,40000.000000000000000,100000000.000000000000000,49,6,321,1282848.326858917251229,1.282499581640507,1,1.282848326858917
M,00,M00,40000.000000000000000,100000000.000000000000000,50,6,332,2472522.789393526501954,2.471849288123592,3,2.472522789393527
N,00,N00,40000.000000000000000,100000000.000000000000000,51,7,112,3237541.985328778158873,3.237312041810446,1,3.237541985328778
N,00,N00,40000.000000000000000,100000000.000000000000000,52,7,131,272145.427857749571558,0.272125913248592,1,0.272145427857750
N,00,N00,40000.000000000000000,100000000.000000000000000,53,7,142,492216.395676674495917,0.492181463800737,1,0.492216395676675
N,00,N00,40000.000000000000000,100000000.000000000000000,54,7,211,307577.720791142317466,0.307555632829308,1,0.307577720791142
N,00,N00,40000.000000000000000,100000000.000000000000000,55,7,231,71042205.439643412828445,71.037178997499424,1,71.042205439643411
N,00,N00,40000.000000000000000,100000000.000000000000000,56,7,242,3406821.704766575247049,3.406579558028461,7,3.406821704766574
N,00,N00,40000.000000000000000,100000000.000000000000000,57,7,243,3064853.397536178585142,3.064636759569391,4,3.064853397536178
N,00,N00,40000.000000000000000,100000000.000000000000000,58,7,311,1636813.872481750324368,1.636698148529870,4,1.636813872481750
N,00,N00,40000.000000000000000,100000000.000000000000000,59,7,312,1256686.280727715929970,1.256598100207791,3,1.256686280727716
N,00,N00,40000.000000000000000,100000000.000000000000000,60,7,313,4730911.490717580541968,4.730574689069944,7,4.730911490717580
N,00,N00,40000.000000000000000,100000000.000000000000000,61,7,324,2336555.051565023139119,2.336388578743133,5,2.336555051565023
N,00,N00,40000.000000000000000,100000000.000000000000000,62,7,411,740979.311214946093969,0.740927430141417,1,0.740979311214946
N,00,N00,40000.000000000000000,100000000.000000000000000,63,7,412,7474691.921692471019924,7.474161262983374,11,7.474691921692471
O,00,O00,40000.000000000000000,100000000.000000000000000,64,8,112,368595.688535032793880,0.368478169762610,1,0.368595688535033
O,00,O00,40000.000000000000000,100000000.000000000000000,65,8,231,2861384.839228994213045,2.860456188575553,2,2.861384839228994
O,00,O00,40000.000000000000000,100000000.000000000000000,66,8,243,2273210.582715279422700,2.272479975784466,1,2.273210582715279
O,00,O00,40000.000000000000000,100000000.000000000000000,67,8,312,9430823.380000434815884,9.427646489802115,11,9.430823380000433
O,00,O00,40000.000000000000000,100000000.000000000000000,68,8,321,2791272.331804170273244,2.790279170891123,2,2.791272331804171
O,00,O00,40000.000000000000000,100000000.000000000000000,69,8,322,25811940.042396850883961,25.803179356996345,6,25.811940042396852
O,00,O00,40000.000000000000000,100000000.000000000000000,70,8,324,15486271.005892530083656,15.481029869517350,9,15.486271005892526
O,00,O00,40000.000000000000000,100000000.000000000000000,71,8,412,37162508.897194758057594,37.149605588050363,6,37.162508897194755
O,00,O00,40000.000000000000000,100000000.000000000000000,72,8,512,3813993.232231948990375,3.812775926355021,1,3.813993232231949
R,00,R00,40000.000000000000000,100000000.000000000000000,73,9,112,675775.435384675976820,0.675564072505905,1,0.675775435384676
R,00,R00,40000.000000000000000,100000000.000000000000000,74,9,231,73215590.968141660094261,73.194042044991690,3,73.215590968141669
R,00,R00,40000.000000000000000,100000000.000000000000000,75,9,243,3292161.850580406840891,3.291250533223720,2,3.292161850580407
R,00,R00,40000.000000000000000,100000000.000000000000000,76,9,312,10576704.609251672402024,10.573675006868836,16,10.576704609251673
R,00,R00,40000.000000000000000,100000000.000000000000000,77,9,313,1241689.637224838603288,1.241313387967768,2,1.241689637224839
R,00,R00,40000.000000000000000,100000000.000000000000000,78,9,322,41268.967316164453223,0.041257748411715,1,0.041268967316164
R,00,R00,40000.000000000000000,100000000.000000000000000,79,9,324,4854594.587880359031260,4.853246029439134,8,4.854594587880359
R,00,R00,40000.000000000000000,100000000.000000000000000,80,9,412,6102213.944220216013491,6.100483582168210,11,6.102213944220216
S,00,S00,40000.000000000000000,100000000.000000000000000,81,10,211,239931.827255524258362,0.239914471707821,1,0.239931827255524
S,00,S00,40000.000000000000000,100000000.000000000000000,82,10,231,39168554.624421171844006,39.165785329397295,1,39.168554624421169
S,00,S00,40000.000000000000000,100000000.000000000000000,83,10,243,89254.500807381133200,0.089248253228300,1,0.089254500807381
S,00,S00,40000.000000000000000,100000000.000000000000000,84,10,311,2179091.932625034824014,2.178936350417830,4,2.179091932625035
S,00,S00,40000.000000000000000,100000000.000000000000000,85,10,312,11748225.294095944613218,11.747392272134682,7,11.748225294095946
