FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_Length_metres_rivers
1,10,5259.130385097982071
2,6,3191.775441090195272
3,4,367.518349406613709
4,8,3636.165490396575933
5,4,369.536102890337474
6,6,1417.003552452772055
7,12,2187.557573034226607
8,32,5856.445053513664789
10,2,314.211897044933949
11,16,2958.262202941812120
12,4,4043.378339995984788
13,4,841.377890590979632
14,4,2416.035509845226898
15,20,4367.964910214770498
16,23,3382.369221191870565
17,4,2058.577238486433544
18,15,3004.300058747314324
19,4,1813.531599497910292
20,12,3278.369930872144323
22,12,3536.612246589066217
23,18,3405.168038329614774
24,10,2736.616205709101450
25,4,2208.193950487758684
28,26,5323.508920622416554
29,17,5209.108387348758697
34,16,2279.089668999380137
35,8,2445.852910771435290
36,1,1262.976081735359685
37,12,3903.624463078681856
38,21,5461.953643895423738
39,4,696.828712951023363
40,18,5204.642689702432108
41,6,1913.717220847107001
42,6,1722.837249479840693
43,6,2256.577518683656308
44,4,2321.529474250671228
47,14,5041.927261139227085
48,4,142.217480355155828
49,9,2112.975834109069638
51,30,4427.960279452683608
52,16,4813.989590506190325
53,22,4337.261096746683506
55,10,2514.874049340716738
56,16,3914.703745466068085
57,4,3026.345581809964642
58,16,3162.273951097245117
59,12,2512.165144025831069
62,16,5185.208408837181196
63,20,1171.994362247676463
64,8,2145.187582479746197
65,4,794.452027887845361
66,5,562.301011424692433
67,12,2590.502589969266410
68,13,1795.069305864909666
69,18,3852.439883169828590
70,18,3444.815421281383351
71,14,3496.294094362755004
72,27,4341.123255692696148
73,8,2301.700570032601718
74,12,2747.579297795958610
76,8,3115.190775118655438
77,5,1927.919722215026923
78,4,1682.221647142900565
80,4,2480.306712871506534
81,8,463.197014666873031
83,16,3287.220084195136224
84,2,1095.629777501123954
85,18,3643.383013408376428
86,4,2310.471907136723530
87,4,1330.417959655475670
88,12,3092.629516775213688
89,10,3023.450294958346149
90,12,2462.906313581426730
91,24,7886.294155706335914
92,6,2688.464212733871591
93,12,2158.031330231451193
95,4,2315.248243807715426
96,8,1094.052044152239205
97,23,5599.576805882209555
98,4,2390.619362007250857
99,22,5750.882316934485971
100,6,2082.599712677106254
101,1,625.831961811620431
102,4,2661.369951276050870
103,36,5975.277152266107805
104,1,202.248945701701899
105,11,1977.356226591067752
106,4,1412.060940932923586
107,21,7248.601525376420796
108,1,523.170141786847807
109,6,1595.508085099307209
110,5,4095.392922688551153
111,2,317.271383038169688
112,28,5959.156833258339248
113,12,3302.527251215986325
114,2,94.847837908738043
115,2,450.790835201700418
116,6,760.620518568995635
117,8,2251.378256046735714
119,14,4526.171183031662622
120,12,3981.557347419025064
121,3,1157.081322894511459
122,4,2195.710760237018349
123,18,3472.090101398317074
124,20,4598.125097172131063
125,4,842.569734572064135
126,18,4134.277033750478040
127,18,4065.405062432690102
130,4,626.345727899183430
131,2,337.742537604317022
132,5,4168.984785727243434
133,16,4723.579169236181770
134,18,3775.133497623221047
135,4,1934.994544666883030
136,12,3672.641690005165856
137,16,2111.670260843469805
138,4,1421.450100593392335
140,12,4433.636388166041797
141,4,2296.130817674208629
142,4,2538.671861481826909
143,4,2530.700316755604490
144,12,2740.196759856840345
145,12,2005.987817148036129
146,28,4684.493310624653532
147,14,4148.711068232664729
148,8,3163.013956853720629
149,12,4890.814367870091701
152,18,4968.115599337705135
153,18,5219.488954980040944
154,12,3183.354641153212469
155,12,3456.622557441128720
156,8,2686.125388113082408
157,29,4444.077080476759875
158,8,3132.839515117688734
159,4,1912.427960262115221
160,19,2672.315864530070485
161,28,4396.071132730104182
163,4,746.253916329759591
164,2,1071.794068963252357
166,8,2777.324561452587659
167,22,8118.767729329626491
168,10,3593.833989086563179
169,14,4464.439095018893568
171,18,4184.096725331157359
172,4,1127.269052234713854
173,4,546.253814484655322
174,18,3545.339900803307955
175,4,847.591452943699778
176,12,4367.365255366426936
177,24,5779.873004355663397
178,33,6145.086996158727743
180,28,4240.813241093971556
181,4,2347.258995535925806
182,8,2007.778967928075417
183,20,5469.202165487155980
184,24,3330.401864493607263
185,22,4843.607916514494718
186,20,4773.435411689001739
187,52,9692.918633737292112
188,10,3447.270364306091324
189,10,4873.302685843264953
190,12,4096.889370000930285
191,4,1721.719337607947864
192,4,2262.702987110225877
193,4,1805.364806592860077
194,10,3275.436884141672181
195,8,2354.702126128990585
196,6,1445.453922344764351
197,14,4199.741367026160333
199,34,4379.995385140745384
200,4,2174.629072200908013
203,4,2448.813797702583543
204,2,121.560715113408065
205,6,1458.775549557284648
207,12,4310.006160946926684
208,4,2431.695513788210519
209,14,5888.309564130595390
211,18,2868.611433112597751
212,4,1070.152642584990417
213,18,4401.954058160326895
214,12,2818.834044859048390
215,20,4190.638268996056468
216,4,2459.735656479171212
217,12,3307.908398621482320
218,9,3853.867956650209635
219,10,3412.378570626135115
220,24,5208.653859284493592
221,27,5754.787263507474563
222,12,3332.087503247370478
223,4,805.906965758297360
224,15,5045.985872856170317
225,16,3551.071545738751411
226,6,2789.310902889432327
227,18,3619.685896126619809
228,4,1839.549042116522742
229,16,4207.880266770785965
230,17,3756.676809583357226
231,23,5886.123798326370888
233,8,1272.550022950704260
235,55,11101.892696430544675
236,12,2831.977620677755567
237,12,2790.209759077299623
238,6,1549.122566420088560
239,12,3468.859601145906709
240,4,1116.235881673517270
242,5,1932.201622007851711
243,4,1342.363587715886752
244,4,1589.814909369360976
245,7,3416.280237235183449
247,18,2635.262449633784854
248,14,2862.378280481153979
249,16,4052.008658570206535
250,1,1068.261246875025336
251,12,2372.740138370035766
252,6,1928.509977207281963
253,41,7845.365088141090382
254,8,2055.319984612646749
255,16,2600.984295532325177
258,1,10.649133468896236
259,8,995.964664701920469
260,17,4785.127437677888338
261,24,5389.842172558069251
262,12,2325.653765629308964
264,4,1388.617313887501496
265,4,2329.368625570228687
266,4,1796.581653576728513
267,2,671.745227359851469
268,4,2371.482992624531107
269,4,2426.061387076061692
270,12,3676.327259622704787
271,6,2516.054551820238430
272,12,3670.162775796829010
273,18,4330.686769916150297
274,6,2025.243926749328466
276,4,1312.075472294526890
277,4,1327.726268982222109
278,7,2664.528627392286126
279,14,4108.365325324535661
280,8,4462.197634709013073
281,17,4405.301837400129443
282,4,2444.169929871770364
284,4,1951.922771587132502
285,28,5160.895869697907983
286,4,2714.101273831335220
287,20,5362.431736990886748
288,10,3421.413599294729465
289,6,1280.900858469657123
290,6,2102.216277479019936
291,4,883.356469204326004
292,4,2401.662241761054702
293,24,4347.175669141091930
294,17,1267.492893577322093
295,4,2263.940121863098284
296,10,1412.114238602301157
297,8,1173.862914377519473
298,18,2539.919291534694366
299,10,3704.145820570516662
300,6,2504.372572810832935
301,8,2801.140197350189283
304,8,3075.596210952555793
305,10,4608.710213632184605
306,12,2653.528519459618565
307,2,264.755424239447279
308,14,3012.586739780712833
309,20,4353.733814816931044
310,8,3233.530520633816650
311,8,2636.249523214096826
312,4,2340.147277300098267
313,8,631.113727715596156
314,18,3828.542916922841414
315,6,3722.286281756416429
316,6,2418.052556279690634
317,8,2885.196698781772739
318,10,2953.297575630190750
319,6,1739.723793205072980
321,4,944.255613060746327
322,4,1164.427966531496622
323,6,2757.282216710590092
324,10,2229.089480639185240
326,14,3001.082737597101641
327,12,3215.327501549868430
328,6,3191.775441090195272
329,4,367.518349406613709
330,6,1417.003552452772055
331,6,1349.922451521127414
332,4,302.101974309514162
333,8,3819.125388738858419
334,16,2958.262202941812120
336,4,2627.170753170615171
337,4,841.377890590979632
338,4,2416.035509845226898
339,8,3874.274923963098445
340,4,1976.995181506757262
341,35,5838.792163035656813
342,24,4486.731050706014685
343,16,4855.527383790274143
344,4,271.023711027284094
345,4,2236.291060064011617
346,4,1024.927737852909104
347,2,106.332726965011801
348,1,1262.976081735359685
349,4,2358.564730200624581
350,21,5461.953643895423738
351,4,1840.094448454402482
352,2,390.904013117886734
353,22,4711.604466750889515
354,16,4813.989590506190325
355,22,4337.261096746683506
356,10,2514.874049340716738
357,11,4225.525379634927958
358,10,3030.933235117347067
360,24,4573.044040958741789
361,22,3130.722160703234749
362,8,2145.187582479746197
363,4,1508.410152345597453
364,12,2590.502589969266410
365,8,1748.124506081471282
366,8,2493.849177394274193
367,30,7154.334615629263681
368,8,1685.554718915373087
369,14,3496.294094362755004
370,2,335.472411944706153
372,12,2372.740138370035766
373,4,2310.471907136723530
374,17,4405.301837400129443
375,17,4405.301837400129443
376,22,5750.882316934485971
377,6,306.006196023807377
378,6,2082.599712677106254
379,21,7248.601525376420796
380,4,1771.285284155352883
381,1,523.170141786847807
382,4,2465.119296083078552
383,20,5414.697168970416897
385,4,1231.782863441710788
386,16,4162.999627584536029
387,3,1157.081322894511459
388,18,3311.252661015725153
390,16,4723.579169236181770
391,4,2981.296034667625008
392,18,3775.133497623221047
393,2,314.211897044933949
394,8,3302.245929818293007
395,9,561.641074376820029
396,16,3162.273951097245117
397,12,3672.641690005165856
398,5,2378.580334328314166
400,12,4433.636388166041797
401,6,1724.071798079252630
402,4,2530.700316755604490
403,10,2566.031688735080934
404,4,1043.548654315406111
405,4,2429.580010308256533
407,10,4239.980070592901939
408,8,2850.589640348100147
410,12,3183.354641153212469
411,4,1508.275058624763915
413,8,2686.125388113082408
414,19,5267.347009189972596
415,4,746.253916329759591
417,8,2777.324561452587659
418,4,546.253814484655322
419,16,4097.604735627494847
420,24,5779.873004355663397
421,4,1986.233705249839204
422,8,2007.778967928075417
423,26,4503.270330822094365
424,22,4843.607916514494718
425,4,556.269853348730067
427,20,4788.552003045293532
428,2,322.285420176911543
429,4,743.775164937701106
430,14,4199.741367026160333
