FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_legth_met
1,229,19862.756135004765383
2,7,3030.391216910322328
3,20,5176.975099430347655
4,10,3349.506086974463415
5,4,1673.326752835399930
6,1,652.062467424716374
7,1,752.235677290686908
8,1,152.099523954707223
9,44,7003.084329636122675
10,44,6226.511427380980422
11,46,6207.507822759919691
12,8,1006.645566213011534
13,105,9190.661549625203406
14,7,2231.620481942063634
15,10,2688.770283892670705
16,27,4187.012486618737967
17,10,2711.343226871000752
18,3,1412.192046372830191
19,18,3900.982727035415792
20,5,1273.575850375686969
22,35,3884.267266709595788
23,19,4513.361828967327710
24,17,3917.940026697111080
25,4,1428.534849020855745
26,2,344.476193743764554
27,18,3278.082309196532151
28,9,3392.242114988204321
29,12,2510.971860529362857
30,18,3777.578280778105182
32,26,5150.731031200095458
33,171,16526.491079631694447
34,2,1007.806936137401635
35,93,11015.554496325961736
36,12,1371.958098886612561
37,7,3314.871295870212180
38,79,11905.646186167250562
39,146,14897.886627056219368
40,7,2485.555021580190441
41,17,2752.144354894646312
42,10,2668.807108820017675
44,35,5486.776058063724122
45,34,8688.590947344308006
46,14,5429.927049388224077
47,6,2819.157557212608026
48,22,4604.995807432918809
49,111,11098.088751595729263
50,5,1262.073239689363618
51,19,5450.600276162568662
52,10,3695.235587351698086
53,1,679.340321620410919
54,200,19541.780440204922343
55,23,4310.106957866956691
56,36,4695.174103978879430
57,17,3164.104521826477139
58,86,8870.227403003185827
59,7,2760.903891561263208
60,53,14337.569553335273667
61,6,4303.581076729359665
62,8,1924.518420715485263
63,4,2300.709727094757000
64,1,1268.533775989623336
65,4,1642.516925392085795
66,16,4430.228008712407245
67,12,2887.469962673747432
68,50,7084.360799593753654
69,17,3668.160627702950023
70,36,4774.605470089903974
71,3,1332.377269455074384
72,18,5101.697092672369763
73,2,1284.595958171125403
74,34,6400.997124098594213
75,10,4105.480452616699040
76,15,3966.100788512252166
77,15,3708.653476383231464
78,26,4653.193338584798767
79,60,11811.353575040988289
80,92,9799.796883114851880
81,10,2838.840837529423425
82,21,3976.329342505970544
83,25,4604.262668001456404
84,19,4427.254625905180546
85,35,4593.747936636838858
86,5,2997.532220010302808
87,3,1980.135921244066139
88,18,3183.445585263613339
89,20,4525.242586627199671
90,68,10351.756073090584323
91,14,3245.334796053681202
92,5,2007.348477044812398
93,4,1834.071095020410667
94,2,1651.623650942021186
95,7,1896.777609956088781
96,18,4714.784806849571396
97,5,1340.443681085172557
98,333,27320.602035716707178
99,5,1417.079732472260048
100,10,1790.882782488409021
102,11,2922.684313921283774
104,38,5901.753028274009921
105,8,581.178562050996106
106,6,2108.620376397778273
107,6,3337.643977524197908
108,4,500.235435332638190
109,4,289.693807023270779
110,11,2471.036819477033532
111,5,2574.296515048386482
112,5,2095.228376073706841
113,5,558.864618657950359
114,9,3182.807687464578066
115,17,5426.089753922258751
116,12,2928.980380628027888
117,11,2713.505462348225137
118,19,4985.564343882619141
119,36,7097.493627133522750
120,13,3090.866510227498566
121,4,233.856410317638080
122,11,3235.799098911132660
