"gridid","sum_Shape_Area","sum_Area_SQUAREKILOMETERS","Polygon_Count","X231","X243","X312","X324","X412","X512","X111","X112","X121","X142","X311","X313","X321","X322","X332","X333","X122","X211","X242","X421","X423","X522","X131","X411","X331","X521","X133","X511","X334","X124","X141","X222","X132","X123","NA.","total","artificial_surfaces","agricultural_surfaces","forested_and_semi_natural","wetlands","water_bodies","urban","forest","scrub","y","x"
"B60",125354.790766436,0.125343015018514,2,0.00040070331755281,0,0,0,0,0,0,0,0,0,0,0,0,0.00085284459011155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125354790766436,0,0.00040070331755281,0.00085284459011155,0,0,0,0,0.00085284459011155,54.891425,-8.545509
"B61",18940169.2348602,18.9383145718778,6,0.0305792929581703,0,0,0,0.0926057796229386,0,0,0,0,0,0,0,0.0454458171253394,0,0,0,0,0,0.0170344740972377,0,0.00373632854491621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189401692348602,0,0.047613767055408,0.0454458171253394,0.0963421081678548,0,0,0,0.0454458171253394,54.981258,-8.546727
"B70",66529231.1917254,66.523654552608,29,0.042889334480643,0.140109433135008,0.0113642986722883,0.0273722434118519,0.305191800762193,0.00610851532599898,0,0,0,0.0019479756580588,0,0,0,0,0,0,0,0,0,0,0.0882763593451775,0.0112165266398252,0,0,0.0308158244862092,0,0,0,0,0,0,0,0,0,0,0.665292311917254,0.0019479756580588,0.182998767615651,0.0695523665703494,0.393468160107371,0.0173250419658242,0,0.0113642986722883,0.0273722434118519,54.892024,-8.389654
"B71",78456257.5731333,78.4496312365711,40,0,0.0433968219681702,0.00650898917718195,0.00603278443596338,0.442992080582663,0.0245801378655349,0,0.0169769449822907,0,0,0,0,0.0194649234045627,0,0,0.0178015730302614,0,0,0.141558342361685,0,0.0550966384400699,0,0,0,0.0101533394829495,0,0,0,0,0,0,0,0,0,0,0.784562575731333,0.0169769449822907,0.184955164329855,0.0599616095309189,0.498088719022733,0.0245801378655349,0.0169769449822907,0.00650898917718195,0.0254977078405261,54.98186,-8.390524
"B72",23277531.8513458,23.2756012657594,33,0.00875082349887715,0.0558710177904611,0,0,0.0181102503772432,0.00142030118193606,0,0,0,0.00432838119003327,0,0,0.0331368836994681,0.0199142433646777,0,0.00132416102946723,0,0,0.00503588038352894,0,0.0329044355869321,0.0162267545111267,0,0,0.0310461881854941,0,0,0,0,0.00470599771421264,0,0,0,0,0,0.232775318513458,0.00903437890424591,0.0696577216728672,0.0854214762791071,0.0510146859641753,0.0176470556930628,0,0,0.0530511270641458,55.071693,-8.391398
"B73",365496.504211219,0.365466698676257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365496504211219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365496504211219,0,0,0.00365496504211219,0,0,0,0,0,55.161526,-8.392278
"B80",99999999.9999999,99.992428019342,34,0.00030763758277642,0.0655268741297941,0.149929446730325,0.0460412391212238,0.702700586092781,0.0132419604078674,0,0,0,0,0,0,0,0.00508426418031404,0,0.00030720246667794,0,0,0,0,0.0008331369461126,0.0160276523421271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999999,0,0.0658345117125705,0.201362152498541,0.703533723038894,0.0292696127499945,0,0.149929446730325,0.0511255033015378,54.892424,-8.233795
"B81",1e+08,99.9924280407001,19,0,0.0582010015101388,0.00590123897409535,0.01088030845669,0.840234617111727,0.0244328639842751,0,0.00065679519043645,0,0,0,0,0,0,0,0.0525078188560134,0,0,0.00718535591662381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00065679519043645,0.0653863574267626,0.0692893662867987,0.840234617111727,0.0244328639842751,0.00065679519043645,0.00590123897409535,0.01088030845669,54.982261,-8.234316
"B82",99951853.9402149,99.9442858280188,28,0.00035789844544501,0.0927408833861751,0.0127859016935866,0.00996940550281706,0.694192416841853,0.0220340741190444,0,0.0211590964844894,0.0044155608556592,0,0,0,0,0.0202940649568533,0,0,0,0,0.0639337366011141,0.00322796028920769,0.00166601935820227,0.0103848538656138,0.00337396552735993,0,0.0389827014747282,0,0,0,0,0,0,0,0,0,0,0.999518539402149,0.0289486228675085,0.157032518432734,0.0820320736279851,0.699086396489263,0.0324189279846582,0.0211590964844894,0.0127859016935866,0.0302634704596704,55.072096,-8.234841
"B83",35683741.9998081,35.6810537615967,16,0,0.0323147574072811,0,0,0.188335331659712,0,0,0,0,0,0,0,0.0163725516427044,0.0232313695516299,0,0,0,0,0.0852522051075729,0,0.00658831452825861,0,0,0,0.00474289010092186,0,0,0,0,0,0,0,0,0,0,0.356837419998081,0,0.117566962514854,0.0443468112952562,0.194923646187971,0,0,0,0.0396039211943343,55.16193,-8.235369
"B84",3907380.06147928,3.9070867751395,5,0,0.0180222793697956,0,0,0,0,0,0,0,0,0,0,0,0.00718519662127654,0,0.00991566684402161,0,0,0,0,0.00395065777969903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390738006147928,0,0.0180222793697956,0.0171008634652981,0.00395065777969903,0,0,0,0.00718519662127654,55.251762,-8.235899
"B90",1e+08,99.992918599846,41,0.0510439801422542,0.00714925575657796,0.0856386143379725,0.0948374312548316,0.671051840396576,0.0162604324341681,0,0,0,0,0.00277783323728886,0,0,0.0552765792508081,0,0.00956149511989018,0,0,0.00640253806963235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0645957739684645,0.248091953200791,0.671051840396576,0.0162604324341681,0,0.0884164475752614,0.15011401050564,54.892624,-8.077932
"B91",1e+08,99.9929186280342,20,0,0.0140077030461614,0.00276702872825499,0,0.570546169515527,0.0204034960284153,0,0,0,0,0.00422163544386037,0,0.0287652863685902,0.0134355649309722,0,0.345853115938219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0140077030461614,0.395042631409897,0.570546169515527,0.0204034960284153,0,0.00698866417211536,0.0422008512995624,54.982461,-8.078106
"B92",1e+08,99.9929186075204,23,0.0940031623367418,0.0401957959026939,0.0132374120480604,0.0438565193113493,0.630161038945873,0.0157961852671219,0,0.00034528595652774,0,0,0,0,0,0.0245066123873905,0.032552590569811,0.105345397274431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00034528595652774,0.134198958239436,0.219498531591042,0.630161038945873,0.0157961852671219,0.00034528595652774,0.0132374120480604,0.0683631316987398,55.072297,-8.078281
"B93",61371569.7496033,61.3672306584682,41,0.254205783403048,0.0566800901868272,0.00320525374503506,0.00975182182821031,0.102158377640388,0.00264037889459434,0,0.00815425329007754,0,0.00386820417128326,0,0,0,0.0236177420559423,0,0.0267369828879705,0,0,0.0001119047643415,0.00277095853315231,0.0687349962063797,0.00874680547941052,0.00271329933317226,0,0.0396188450762001,0,0,0,0,0,0,0,0,0,0,0.613715697496033,0.0147357567945331,0.310997778354217,0.102930645593358,0.17366433237992,0.0113871843740049,0.00815425329007754,0.00320525374503506,0.0333695638841526,55.162132,-8.078457
"B94",996958.321070521,0.996888527653252,3,0,0.00231806554846602,0,0,0.00022501478298267,0,0,0,0,0,0,0,0,0.00742650287925652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00996958321070521,0,0.00231806554846602,0.00742650287925652,0.00022501478298267,0,0,0,0.00742650287925652,55.251965,-8.078633
"C00",1e+08,99.9929185976794,47,0.110603023890579,0.0226410866726284,0.112517391448135,0.166129577593329,0.585449639286929,0.0026592811083993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.133244110563207,0.278646969041464,0.585449639286929,0.0026592811083993,0,0.112517391448135,0.166129577593329,54.892624,-7.922068
