prefix,number,gridid,y,x,Shape_Length,Shape_Area
C,00,C00,54.892623999999998,-7.922068000000000,40000.000000000000000,100000000.000000000000000
D,00,D00,54.881630999999999,-6.363802000000000,40000.000000000000000,100000000.000000000000000
G,00,G00,53.985475000000001,-9.448391000000001,40000.000000000000000,100000000.000000000000000
H,00,H00,53.994179000000003,-7.923756000000000,40000.000000000000000,100000000.000000000000000
J,00,J00,53.983541000000002,-6.399210000000000,40000.000000000000000,100000000.000000000000000
M,00,M00,53.087173999999997,-9.418048000000001,40000.000000000000000,100000000.000000000000000
N,00,N00,53.095598000000003,-7.925353000000000,40000.000000000000000,100000000.000000000000000
O,00,O00,53.085303000000003,-6.432742000000000,40000.000000000000000,100000000.000000000000000
R,00,R00,52.188726000000003,-9.389284999999999,40000.000000000000000,100000000.000000000000000
S,00,S00,52.196882000000002,-7.926868000000000,40000.000000000000000,100000000.000000000000000
T,00,T00,52.186914000000002,-6.464529000000000,40000.000000000000000,100000000.000000000000000
C,01,C01,54.982461000000001,-7.921894000000000,40000.000000000000000,100000000.000000000000000
D,01,D01,54.971431000000003,-6.360152000000000,40000.000000000000000,100000000.000000000000000
G,01,G01,54.075296999999999,-9.451516000000000,40000.000000000000000,100000000.000000000000000
H,01,H01,54.084029000000001,-7.923591000000000,40000.000000000000000,100000000.000000000000000
J,01,J01,54.073357000000001,-6.395756000000000,40000.000000000000000,100000000.000000000000000
N,01,N01,53.185462999999999,-7.925197000000000,40000.000000000000000,100000000.000000000000000
O,01,O01,53.175133000000002,-6.429469000000000,40000.000000000000000,100000000.000000000000000
R,01,R01,52.278576999999999,-9.392092999999999,40000.000000000000000,100000000.000000000000000
S,01,S01,52.286760000000001,-7.926720000000000,40000.000000000000000,100000000.000000000000000
T,01,T01,52.276758999999998,-6.461425000000000,40000.000000000000000,100000000.000000000000000
C,02,C02,55.072296999999999,-7.921719000000000,40000.000000000000000,100000000.000000000000000
D,02,D02,55.061230999999999,-6.356483000000000,40000.000000000000000,100000000.000000000000000
G,02,G02,54.165118000000000,-9.454658999999999,40000.000000000000000,100000000.000000000000000
H,02,H02,54.173878000000002,-7.923425000000000,40000.000000000000000,100000000.000000000000000
J,02,J02,54.163170999999998,-6.392283000000000,40000.000000000000000,100000000.000000000000000
M,02,M02,53.266846000000001,-9.423987000000000,40000.000000000000000,100000000.000000000000000
N,02,N02,53.275325000000002,-7.925041000000000,40000.000000000000000,100000000.000000000000000
O,02,O02,53.264961999999997,-6.426179000000000,40000.000000000000000,100000000.000000000000000
R,02,R02,52.368426999999997,-9.394916000000000,40000.000000000000000,100000000.000000000000000
S,02,S02,52.376635999999998,-7.926572000000000,40000.000000000000000,100000000.000000000000000
T,02,T02,52.366602999999998,-6.458305000000000,40000.000000000000000,100000000.000000000000000
W,02,W02,51.469861000000002,-9.367338000000000,40000.000000000000000,100000000.000000000000000
C,03,C03,55.162132000000000,-7.921543000000000,40000.000000000000000,100000000.000000000000000
D,03,D03,55.151027999999997,-6.352792000000000,40000.000000000000000,100000000.000000000000000
G,03,G03,54.254936999999998,-9.457819000000001,40000.000000000000000,100000000.000000000000000
H,03,H03,54.263725999999998,-7.923259000000000,40000.000000000000000,100000000.000000000000000
J,03,J03,54.252983999999998,-6.388791000000000,40000.000000000000000,100000000.000000000000000
M,03,M03,53.356679999999997,-9.426980000000000,40000.000000000000000,100000000.000000000000000
N,03,N03,53.365186999999999,-7.924883000000000,40000.000000000000000,100000000.000000000000000
O,03,O03,53.354790000000001,-6.422871000000000,40000.000000000000000,100000000.000000000000000
R,03,R03,52.458275999999998,-9.397755000000000,40000.000000000000000,100000000.000000000000000
S,03,S03,52.466510999999997,-7.926422000000000,40000.000000000000000,100000000.000000000000000
T,03,T03,52.456446000000000,-6.455169000000000,40000.000000000000000,100000000.000000000000000
W,03,W03,51.559724000000003,-9.370031000000001,40000.000000000000000,100000000.000000000000000
C,04,C04,55.251964999999998,-7.921367000000000,40000.000000000000000,100000000.000000000000000
D,04,D04,55.240825000000001,-6.349081000000000,40000.000000000000000,100000000.000000000000000
G,04,G04,54.344754000000002,-9.460996000000000,40000.000000000000000,100000000.000000000000000
H,04,H04,54.353572999999997,-7.923092000000000,40000.000000000000000,100000000.000000000000000
J,04,J04,54.342795000000002,-6.385279000000000,40000.000000000000000,100000000.000000000000000
M,04,M04,53.446511999999998,-9.429989000000001,40000.000000000000000,100000000.000000000000000
N,04,N04,53.455047000000000,-7.924725000000000,40000.000000000000000,100000000.000000000000000
O,04,O04,53.444616000000003,-6.419545000000000,40000.000000000000000,100000000.000000000000000
R,04,R04,52.548122999999997,-9.400608000000000,40000.000000000000000,100000000.000000000000000
S,04,S04,52.556384999999999,-7.926272000000000,40000.000000000000000,100000000.000000000000000
T,04,T04,52.546287000000000,-6.452015000000000,40000.000000000000000,100000000.000000000000000
W,04,W04,51.649585999999999,-9.372738999999999,40000.000000000000000,100000000.000000000000000
D,05,D05,55.330618999999999,-6.345350000000000,40000.000000000000000,100000000.000000000000000
H,05,H05,54.443418000000001,-7.922923000000000,40000.000000000000000,100000000.000000000000000
J,05,J05,54.432605000000002,-6.381749000000000,40000.000000000000000,100000000.000000000000000
M,05,M05,53.536343000000002,-9.433014999999999,40000.000000000000000,100000000.000000000000000
N,05,N05,53.544905000000000,-7.924565000000000,40000.000000000000000,100000000.000000000000000
O,05,O05,53.534441000000001,-6.416202000000000,40000.000000000000000,100000000.000000000000000
R,05,R05,52.637968000000001,-9.403476000000000,40000.000000000000000,100000000.000000000000000
S,05,S05,52.646256999999999,-7.926121000000000,40000.000000000000000,100000000.000000000000000
T,05,T05,52.636127000000002,-6.448846000000000,40000.000000000000000,100000000.000000000000000
W,05,W05,51.739446000000001,-9.375461000000000,40000.000000000000000,100000000.000000000000000
H,06,H06,54.533262000000001,-7.922754000000000,40000.000000000000000,100000000.000000000000000
J,06,J06,54.522413000000000,-6.378199000000000,40000.000000000000000,100000000.000000000000000
M,06,M06,53.626171999999997,-9.436057000000000,40000.000000000000000,100000000.000000000000000
N,06,N06,53.634763000000000,-7.924405000000000,40000.000000000000000,100000000.000000000000000
