prefix,number,gridid,y,x,Shape_Length,Shape_Area
D,00,D00,54.881630999999999,-6.363802000000000,40000.000000000000000,100000000.000000000000000
D,01,D01,54.971431000000003,-6.360152000000000,40000.000000000000000,100000000.000000000000000
J,01,J01,54.073357000000001,-6.395756000000000,40000.000000000000000,100000000.000000000000000
D,02,D02,55.061230999999999,-6.356483000000000,40000.000000000000000,100000000.000000000000000
H,02,H02,54.173878000000002,-7.923425000000000,40000.000000000000000,100000000.000000000000000
J,02,J02,54.163170999999998,-6.392283000000000,40000.000000000000000,100000000.000000000000000
D,03,D03,55.151027999999997,-6.352792000000000,40000.000000000000000,100000000.000000000000000
H,03,H03,54.263725999999998,-7.923259000000000,40000.000000000000000,100000000.000000000000000
J,03,J03,54.252983999999998,-6.388791000000000,40000.000000000000000,100000000.000000000000000
D,04,D04,55.240825000000001,-6.349081000000000,40000.000000000000000,100000000.000000000000000
H,04,H04,54.353572999999997,-7.923092000000000,40000.000000000000000,100000000.000000000000000
J,04,J04,54.342795000000002,-6.385279000000000,40000.000000000000000,100000000.000000000000000
D,05,D05,55.330618999999999,-6.345350000000000,40000.000000000000000,100000000.000000000000000
H,05,H05,54.443418000000001,-7.922923000000000,40000.000000000000000,100000000.000000000000000
J,05,J05,54.432605000000002,-6.381749000000000,40000.000000000000000,100000000.000000000000000
H,06,H06,54.533262000000001,-7.922754000000000,40000.000000000000000,100000000.000000000000000
J,06,J06,54.522413000000000,-6.378199000000000,40000.000000000000000,100000000.000000000000000
H,07,H07,54.623105000000002,-7.922584000000000,40000.000000000000000,100000000.000000000000000
J,07,J07,54.612220000000001,-6.374629000000000,40000.000000000000000,100000000.000000000000000
H,08,H08,54.712946000000002,-7.922413000000000,40000.000000000000000,100000000.000000000000000
J,08,J08,54.702024999999999,-6.371040000000000,40000.000000000000000,100000000.000000000000000
J,09,J09,54.791829000000000,-6.367431000000000,40000.000000000000000,100000000.000000000000000
D,10,D10,54.879432999999999,-6.208055000000000,40000.000000000000000,100000000.000000000000000
D,11,D11,54.969225999999999,-6.204058000000000,40000.000000000000000,100000000.000000000000000
J,11,J11,54.071223000000003,-6.243046000000000,40000.000000000000000,100000000.000000000000000
D,12,D12,55.059018000000002,-6.200040000000000,40000.000000000000000,100000000.000000000000000
H,12,H12,54.173684000000002,-7.770277000000000,40000.000000000000000,100000000.000000000000000
J,12,J12,54.161031000000001,-6.239243000000000,40000.000000000000000,100000000.000000000000000
D,13,D13,55.148808000000002,-6.195998000000000,40000.000000000000000,100000000.000000000000000
H,13,H13,54.263531000000000,-7.769778000000000,40000.000000000000000,100000000.000000000000000
J,13,J13,54.250836000000000,-6.235419000000000,40000.000000000000000,100000000.000000000000000
D,14,D14,55.238596999999999,-6.191935000000000,40000.000000000000000,100000000.000000000000000
H,14,H14,54.353377000000002,-7.769276000000000,40000.000000000000000,100000000.000000000000000
J,14,J14,54.340640000000000,-6.231574000000000,40000.000000000000000,100000000.000000000000000
D,15,D15,55.328384999999997,-6.187848000000000,40000.000000000000000,100000000.000000000000000
H,15,H15,54.443221000000001,-7.768771000000000,40000.000000000000000,100000000.000000000000000
J,15,J15,54.430442999999997,-6.227708000000000,40000.000000000000000,100000000.000000000000000
H,16,H16,54.533065000000001,-7.768264000000000,40000.000000000000000,100000000.000000000000000
J,16,J16,54.520243999999998,-6.223820000000000,40000.000000000000000,100000000.000000000000000
H,17,H17,54.622906999999998,-7.767753000000000,40000.000000000000000,100000000.000000000000000
J,17,J17,54.610042999999997,-6.219912000000000,40000.000000000000000,100000000.000000000000000
H,18,H18,54.712747000000000,-7.767240000000000,40000.000000000000000,100000000.000000000000000
J,18,J18,54.699840999999999,-6.215981000000000,40000.000000000000000,100000000.000000000000000
