prefix,number,gridid,X_centroid,Y_centroid,y,x,Field,Field1,Shape_Length,Shape_Area
D,0000,D0000,-6,55,54.842143000000000,-6.435460000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0001,D0001,-6,55,54.851123000000001,-6.435113000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0002,D0002,-6,55,54.860104000000000,-6.434765000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0003,D0003,-6,55,54.869084000000001,-6.434417000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0004,D0004,-6,55,54.878064999999999,-6.434069000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0005,D0005,-6,55,54.887045000000001,-6.433721000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0006,D0006,-6,55,54.896025000000002,-6.433372000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0007,D0007,-6,55,54.905006000000000,-6.433023000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0008,D0008,-6,55,54.913986000000001,-6.432674000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0009,D0009,-6,55,54.922967000000000,-6.432325000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0010,D0010,-6,55,54.931947000000001,-6.431976000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0011,D0011,-6,55,54.940927000000002,-6.431626000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0012,D0012,-6,55,54.949908000000001,-6.431277000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0013,D0013,-6,55,54.958888000000002,-6.430927000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0014,D0014,-6,55,54.967868000000003,-6.430577000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0014,J0014,-6,54,54.069763000000002,-6.464647000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0015,D0015,-6,55,54.976849000000001,-6.430226000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0015,J0015,-6,54,54.078744999999998,-6.464315000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0016,D0016,-6,55,54.985829000000003,-6.429876000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0016,J0016,-6,54,54.087727000000001,-6.463983000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0017,D0017,-6,55,54.994808999999997,-6.429525000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0017,J0017,-6,54,54.096708999999997,-6.463652000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0018,D0018,-6,55,55.003790000000002,-6.429174000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0018,J0018,-6,54,54.105690000000003,-6.463320000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0019,D0019,-6,55,55.012770000000003,-6.428823000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0019,J0019,-6,54,54.114671999999999,-6.462987000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0020,D0020,-6,55,55.021749999999997,-6.428472000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0020,J0020,-6,54,54.123654000000002,-6.462655000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0021,D0021,-6,55,55.030729999999998,-6.428121000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0021,J0021,-6,54,54.132635000000001,-6.462322000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0022,D0022,-6,55,55.039709999999999,-6.427769000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0022,J0022,-6,54,54.141616999999997,-6.461989000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0023,D0023,-6,55,55.048690999999998,-6.427417000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0023,J0023,-6,54,54.150599000000000,-6.461656000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0024,D0024,-6,55,55.057670999999999,-6.427065000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0024,J0024,-6,54,54.159579999999998,-6.461323000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0025,D0025,-6,55,55.066651000000000,-6.426713000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0025,J0025,-6,54,54.168562000000001,-6.460990000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0026,D0026,-6,55,55.075631000000001,-6.426360000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0026,J0026,-6,54,54.177543999999997,-6.460656000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0027,D0027,-6,55,55.084611000000002,-6.426008000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0027,J0027,-6,54,54.186525000000003,-6.460323000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0028,D0028,-6,55,55.093591000000004,-6.425655000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0028,J0028,-6,54,54.195506999999999,-6.459989000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0029,D0029,-6,55,55.102570999999998,-6.425302000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0029,J0029,-6,54,54.204487999999998,-6.459655000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0030,D0030,-6,55,55.111550999999999,-6.424948000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0030,J0030,-6,54,54.213470000000001,-6.459320000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0031,D0031,-6,55,55.120531999999997,-6.424595000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0031,J0031,-6,54,54.222451999999997,-6.458986000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0032,D0032,-6,55,55.129511999999998,-6.424241000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0032,J0032,-6,54,54.231433000000003,-6.458651000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0033,D0033,-6,55,55.138491999999999,-6.423888000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0033,J0033,-6,54,54.240414999999999,-6.458317000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0034,D0034,-6,55,55.147472000000000,-6.423534000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0034,J0034,-6,54,54.249395999999997,-6.457982000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0035,D0035,-6,55,55.156452000000002,-6.423179000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0035,J0035,-6,54,54.258378000000000,-6.457646000000000,0,0,4000.000000000000000,1000000.000000000000000
D,0036,D0036,-6,55,55.165432000000003,-6.422825000000000,0,0,4000.000000000000000,1000000.000000000000000
J,0036,J0036,-6,54,54.267358999999999,-6.457311000000000,0,0,4000.000000000000000,1000000.000000000000000
